Item,Price,Rating,Number_of_reviews,Status,Image_link
Beats Solo Buds - True Wireless Earbuds - Transparent Red,79.$.95,,,,./New in Tech - Walmart.com_files/Beats-Solo-Buds-True-Wireless-Earbuds-Transparent-Red_15c4cd88-4d8c-4d78-84e9-9f3e06893da7.9a5128c504e53773e3df0ef2efca3d76.png
Sonos Ace Wireless Noise Canceling Headphones (Black),449.$.00,,,,./New in Tech - Walmart.com_files/Sonos-Ace-Wireless-Noise-Canceling-Headphones-Black_cd530d14-bf5b-4f54-a4cf-762f9fb275eb.04b71ebb29ef5ad5661e639a2fb13a09.jpeg
HP Envy X360 15.6 inch Touch 2-in-1 Laptop Intel Core Ultra 7-155U 16GB RAM 512GB SSD Mineral Silver Aluminum,849.$.00,,,,./New in Tech - Walmart.com_files/60b3aefb-36b4-482c-a7be-8e31fa97c3ab.e471ef99d465ad8c91a93281cf5fb5b2.jpeg
Beats Solo4 Wireless Headphones - On-Ear Wireless Headphones - Matte Black,149.$.95,4.8,53,,./New in Tech - Walmart.com_files/Beats-Solo4-Wireless-Headphones-On-Ear-Wireless-Headphones-Matte-Black_061bc359-a5bc-4b46-b1ea-b9b957473dcf.fc697a62916553b100bf7967cf2bfef8.png
"HP 15.6"" FHD Laptop, Intel Core i3-N305, 8GB RAM, 256GB SSD, Natural Silver, 15-fd0131wm",379.$.00,5,1,,./New in Tech - Walmart.com_files/HP-15-6-inch-Laptop-Intel-Core-i3-N305-8GB-RAM-256GB-SSD-Natural-Silver_eb5ba6b9-0c01-4bdf-b8eb-8e0c3f9d83f0.d0970d297e1c7b187a12859152e60757.jpeg
"Apple MacBook Air 13.3 inch Laptop - Space Gray, M1 Chip, 8GB RAM, 256GB storage",699.$.00,4.7,1692,,./New in Tech - Walmart.com_files/Apple-MacBook-Air-13-3-inch-Laptop-Space-Gray-M1-Chip-8GB-RAM-256GB-storage_af1d4133-6de9-4bdc-b1c6-1ca8bd0af7a0.c0eb74c31b2cb05df4ed11124d0e255b.jpeg
Apple Magic Mouse Wireless Bluetooth Rechargeable,67.$.98,4.7,222,,./New in Tech - Walmart.com_files/f010451c-b7be-449d-b518-39c3d8df0630.95bcae479e1153ddc75e4c3f442f693c.jpeg
2024 Apple 11-inch iPad Air M2 Wi-Fi 128GB - Blue,599.$.00,4.4,25,,./New in Tech - Walmart.com_files/2024-Apple-11-inch-iPad-Air-M2-Wi-Fi-128GB-Blue_1512612b-3f81-4661-9b5a-b6e30501ff99.2caff370b34b2a95cde52509e02f68b9.jpeg
Starlink Standard Kit -V4,499.$.00,,,,./New in Tech - Walmart.com_files/f4c92c35-066f-492d-b71c-09b87e2b6d7c.f814eb21ad201fdd09d04bd2a1fb50ec.jpeg
2024 Apple 13-inch iPad Air M2 Wi-Fi 128GB - Blue,754.$.00,4.6,15,,./New in Tech - Walmart.com_files/2024-Apple-13-inch-iPad-Air-M2-Wi-Fi-128GB-Blue_1512612b-3f81-4661-9b5a-b6e30501ff99.2caff370b34b2a95cde52509e02f68b9.jpeg
AirPods Pro (2nd generation) with MagSafe Case (USBC),189.$.99,4.6,2978,,./New in Tech - Walmart.com_files/7e8598be-0a04-4938-98be-765f1fe80447.2f2187eed7001354fb4911fe454dc0d2.jpeg
Acer Aspire 3 15.6 inch Laptop AMD Ryzen 7-5700U 16GB RAM 512GB SSD Pure Silver,359.$.00,4.4,333,,./New in Tech - Walmart.com_files/855fec0a-445b-41f4-97ac-15f020ecd2bc.a41d0f34864c24b911e469ae73727b97.jpeg
"Samsung Galaxy Tab A9+ 11” Tablet, 64GB, Android, Navy",189.$.00,4.7,320,,./New in Tech - Walmart.com_files/Samsung-Galaxy-Tab-A9-11-4GB-RAM-64GB-Storage-Navy-Wi-Fi-Tablet-SM-X210NDBAXAR_14fd00d5-2f27-4cd1-ae4b-c269ae88f138.76e1dfe2c7d5ce3ac2e7d6f35fced1f4.jpeg
